Ingredient Name,Category,Nutritional Value,Processing Level,Health Impact,Regulatory Status,Final Quality Score
Whole Wheat Flour,Natural,High,Minimally Processed,Positive,Approved,4.7
High Fructose Corn Syrup,Sweetener,Low,Ultra-Processed,Negative,Approved,1.2
Soy Lecithin,Additive,Medium,Processed,Neutral,Approved,3.1
Palm Oil,Natural,Medium,Processed,Negative,Approved,2.3
Monosodium Glutamate (MSG),Additive,Low,Ultra-Processed,Neutral,Approved,2.8
Calcium Carbonate,Additive,Medium,Minimally Processed,Positive,Approved,4.0
Artificial Vanilla Flavor,Additive,Low,Ultra-Processed,Neutral,Approved,2.5
Whey Protein,Natural,High,Minimally Processed,Positive,Approved,4.5
Partially Hydrogenated Oil,Processed,Low,Ultra-Processed,Negative,Restricted,0.5
Maltodextrin,Sweetener,Low,Ultra-Processed,Neutral,Approved,2.0
Oat Fiber,Natural,High,Minimally Processed,Positive,Approved,4.6
Carrageenan,Additive,Low,Processed,Negative,Approved,1.8
Cocoa Powder,Natural,High,Minimally Processed,Positive,Approved,4.4
Sodium Nitrite,Preservative,Low,Ultra-Processed,Negative,Approved,1.5
Malt Extract,Natural,Medium,Processed,Neutral,Approved,3.3
Ascorbic Acid (Vitamin C),Additive,Medium,Processed,Positive,Approved,4.8
TBHQ (Preservative),Preservative,Low,Ultra-Processed,Negative,Approved,0.8
Dried Skim Milk,Natural,High,Processed,Positive,Approved,4.2
Artificial Strawberry Flavor,Additive,Low,Ultra-Processed,Neutral,Approved,2.1
Xanthan Gum,Additive,Medium,Processed,Neutral,Approved,3.0
Soy Protein Isolate,Natural,High,Processed,Positive,Approved,4.1
Annatto Color,Additive,Low,Processed,Neutral,Approved,2.9
Inulin Fiber,Natural,High,Minimally Processed,Positive,Approved,4.3
Potassium Sorbate,Preservative,Low,Processed,Neutral,Approved,2.7
Corn Starch,Natural,Low,Processed,Neutral,Approved,3.2
Guar Gum,Additive,Medium,Processed,Neutral,Approved,3.4
Sucralose,Sweetener,Low,Ultra-Processed,Negative,Approved,1.7
Dicalcium Phosphate,Additive,Medium,Processed,Positive,Approved,3.8
Natural Butter Flavor,Additive,Low,Processed,Neutral,Approved,2.6
Soybean Oil,Natural,Medium,Processed,Neutral,Approved,3.5
Lecithin (Sunflower),Additive,Medium,Processed,Neutral,Approved,3.6
Dextrose,Sweetener,Low,Ultra-Processed,Negative,Approved,1.4
Rice Flour,Natural,Medium,Minimally Processed,Positive,Approved,4.0
Sodium Alginate,Additive,Low,Processed,Neutral,Approved,2.8
Citric Acid,Additive,Low,Processed,Neutral,Approved,3.1
Milk Powder,Natural,High,Processed,Positive,Approved,4.4
Acesulfame Potassium,Sweetener,Low,Ultra-Processed,Negative,Approved,1.3
Gelatin,Natural,Medium,Processed,Neutral,Approved,3.5
Yeast Extract,Natural,Medium,Processed,Positive,Approved,3.9
Sodium Benzoate,Preservative,Low,Ultra-Processed,Negative,Approved,1.6
Tapioca Starch,Natural,Low,Processed,Neutral,Approved,3.0
Natural Cocoa Flavor,Additive,Low,Processed,Neutral,Approved,2.7
Canola Oil,Natural,Medium,Processed,Neutral,Approved,3.4
BHT (Preservative),Preservative,Low,Ultra-Processed,Negative,Approved,0.9
Lactose,Sweetener,Low,Processed,Neutral,Approved,2.4
Egg White Powder,Natural,High,Processed,Positive,Approved,4.3
Silicon Dioxide,Additive,Low,Processed,Neutral,Approved,2.5
Sodium Caseinate,Additive,Medium,Processed,Neutral,Approved,3.2
Pea Protein,Natural,High,Processed,Positive,Approved,4.2
Molasses,Sweetener,Medium,Minimally Processed,Positive,Approved,3.7
Sodium Stearoyl Lactylate,Additive,Low,Ultra-Processed,Neutral,Approved,2.3
Natural Caramel Color,Additive,Low,Processed,Neutral,Approved,2.8
Glycerin,Sweetener,Low,Processed,Neutral,Approved,2.1
Baking Soda,Additive,Low,Processed,Neutral,Approved,3.0
Sunflower Oil,Natural,Medium,Processed,Neutral,Approved,3.6
Mono- and Diglycerides,Additive,Low,Ultra-Processed,Negative,Approved,1.9
Brown Rice Syrup,Sweetener,Medium,Processed,Neutral,Approved,3.1
Natural Almond Flavor,Additive,Low,Processed,Neutral,Approved,2.9
Sodium Bicarbonate,Additive,Low,Processed,Neutral,Approved,3.0
Corn Syrup Solids,Sweetener,Low,Ultra-Processed,Negative,Approved,1.2
Wheat Gluten,Natural,High,Processed,Positive,Approved,4.1
Natural Coconut Flavor,Additive,Low,Processed,Neutral,Approved,2.7
Sodium Citrate,Additive,Low,Processed,Neutral,Approved,2.8
Natural Orange Flavor,Additive,Low,Processed,Neutral,Approved,2.9
Rice Bran Oil,Natural,Medium,Processed,Positive,Approved,3.8
Polysorbate 80,Additive,Low,Ultra-Processed,Negative,Approved,1.5
Natural Lemon Flavor,Additive,Low,Processed,Neutral,Approved,2.9
Sodium Saccharin,Sweetener,Low,Ultra-Processed,Negative,Approved,0.7
Natural Raspberry Flavor,Additive,Low,Processed,Neutral,Approved,2.8
Soy Flour,Natural,High,Processed,Positive,Approved,4.0
Natural Banana Flavor,Additive,Low,Processed,Neutral,Approved,2.7
Sodium Erythorbate,Preservative,Low,Ultra-Processed,Negative,Approved,1.4
Natural Peanut Flavor,Additive,Low,Processed,Neutral,Approved,2.9
Sodium Phosphate,Additive,Low,Ultra-Processed,Negative,Approved,1.6
Natural Maple Flavor,Additive,Low,Processed,Neutral,Approved,2.8
Sodium Aluminum Phosphate,Additive,Low,Ultra-Processed,Negative,Approved,1.1
Natural Coffee Flavor,Additive,Low,Processed,Neutral,Approved,2.9
Sodium Hexametaphosphate,Additive,Low,Ultra-Processed,Negative,Approved,1.0
Natural Carrot Flavor,Additive,Low,Processed,Neutral,Approved,2.7
Sodium Metabisulfite,Preservative,Low,Ultra-Processed,Negative,Approved,1.2
Natural Ginger Flavor,Additive,Low,Processed,Neutral,Approved,2.9
Sodium Nitrate,Preservative,Low,Ultra-Processed,Negative,Approved,0.8
Natural Mint Flavor,Additive,Low,Processed,Neutral,Approved,2.8
Sodium Sulfite,Preservative,Low,Ultra-Processed,Negative,Approved,1.0
Natural Cherry Flavor,Additive,Low,Processed,Neutral,Approved,2.7
Sodium Tripolyphosphate,Additive,Low,Ultra-Processed,Negative,Approved,0.9
Natural Blueberry Flavor,Additive,Low,Processed,Neutral,Approved,2.9
Soy Sauce Powder,Natural,Medium,Processed,Neutral,Approved,3.3
Natural Cinnamon Flavor,Additive,Low,Processed,Neutral,Approved,2.8
Hydrolyzed Vegetable Protein,Additive,Medium,Ultra-Processed,Negative,Approved,1.8
Natural Honey Flavor,Additive,Low,Processed,Neutral,Approved,2.7
Maltitol,Sweetener,Low,Ultra-Processed,Negative,Approved,1.5
Natural Vanilla Extract,Additive,Low,Processed,Positive,Approved,3.5
Sorbitol,Sweetener,Low,Ultra-Processed,Negative,Approved,1.4
Natural Apple Flavor,Additive,Low,Processed,Neutral,Approved,2.8
Xylitol,Sweetener,Low,Ultra-Processed,Neutral,Approved,2.5
Natural Peach Flavor,Additive,Low,Processed,Neutral,Approved,2.7
Erythritol,Sweetener,Low,Ultra-Processed,Neutral,Approved,2.6
Natural Pear Flavor,Additive,Low,Processed,Neutral,Approved,2.8
